event_id,event_date,pod_id,pod_name,population,vulnerable_count,vulnerable_pct,resource_type,need_status,request_submitted,amount_requested,estimated_true_need,distance_from_hub_km,delivery_difficulty,days_since_last_successful_delivery,prior_unfulfilled_requests,pool_available_that_resource,naive_priority_score,naive_priority_rank,fair_priority_score,fair_priority_rank,amount_allocated,unmet_amount
1,5/07/2026,Pod 2,Orca Pod 2,90,14,0.156,water,warning,TRUE,8694,8694,5.8,medium,5,0,6500.5,-5.8,1,23.82,2,1187.5,7506.5
2,5/07/2026,Pod 4,Orca Pod 4,55,14,0.255,water,warning,TRUE,5313,5313,11.5,high,5,0,6500.5,-11.5,2,32,1,5313,0
3,10/07/2026,Pod 1,Orca Pod 1,120,18,0.15,food,warning,TRUE,966,966,3.2,low,10,0,854.5,-3.2,1,24.04,3,854.5,111.5
4,10/07/2026,Pod 2,Orca Pod 2,90,14,0.156,water,critical,TRUE,9828,9828,5.8,medium,10,1,6143.8,-5.8,2,36.82,2,137.8,9690.2
5,10/07/2026,Pod 4,Orca Pod 4,55,14,0.255,water,critical,FALSE,0,6006,11.5,high,5,0,6143.8,-11.5,3,57,1,6006,0
6,15/07/2026,Pod 1,Orca Pod 1,120,18,0.15,food,failed,TRUE,1218,1218,3.2,low,15,1,1034,-3.2,1,47.04,3,1034,184
7,15/07/2026,Pod 2,Orca Pod 2,90,14,0.156,water,failed,TRUE,10962,10962,5.8,medium,15,2,6524.1,-5.8,2,49.82,2,0,10962
8,15/07/2026,Pod 4,Orca Pod 4,55,14,0.255,water,failed,FALSE,0,6699,11.5,high,5,0,6524.1,-11.5,3,67,1,6524.1,174.9
9,20/07/2026,Pod 1,Orca Pod 1,120,18,0.15,food,failed,TRUE,1218,1218,3.2,low,20,2,949,-3.2,1,50.04,3,949,269
10,20/07/2026,Pod 2,Orca Pod 2,90,14,0.156,water,failed,TRUE,10962,10962,5.8,medium,20,3,6251.8,-5.8,2,52.82,2,0,10962
11,20/07/2026,Pod 4,Orca Pod 4,55,14,0.255,water,failed,FALSE,0,6699,11.5,high,5,0,6251.8,-11.5,3,67,1,6251.8,447.2
12,25/07/2026,Pod 1,Orca Pod 1,120,18,0.15,food,failed,TRUE,1218,1218,3.2,low,25,3,807,-3.2,1,53.04,3,807,411
13,25/07/2026,Pod 2,Orca Pod 2,90,14,0.156,water,failed,TRUE,10962,10962,5.8,medium,25,4,6542.2,-5.8,2,55.82,2,0,10962
14,25/07/2026,Pod 4,Orca Pod 4,55,14,0.255,water,failed,FALSE,0,6699,11.5,high,10,1,6542.2,-11.5,3,70,1,6542.2,156.8
15,30/07/2026,Pod 1,Orca Pod 1,120,18,0.15,food,failed,TRUE,1218,1218,3.2,low,30,4,765.6,-3.2,1,56.04,3,765.6,452.4
16,30/07/2026,Pod 2,Orca Pod 2,90,14,0.156,water,failed,TRUE,10962,10962,5.8,medium,30,5,6778.1,-5.8,2,58.82,2,79.1,10882.9
17,30/07/2026,Pod 4,Orca Pod 4,55,14,0.255,water,failed,FALSE,0,6699,11.5,high,5,0,6778.1,-11.5,3,67,1,6699,0
