event_id,event_date,pod_id,pod_name,population,vulnerable_count,vulnerable_pct,resource_type,need_status,request_submitted,amount_requested,estimated_true_need,distance_from_hub_km,delivery_difficulty,days_since_last_successful_delivery,prior_unfulfilled_requests,pool_available_that_resource,naive_priority_score,naive_priority_rank,fair_priority_score,fair_priority_rank,amount_allocated,unmet_amount
1,2026-07-05,Pod 2,Orca Pod 2,90,14,0.156,water,warning,True,8694.0,8694.0,5.8,medium,5,0,6500.5,-5.8,1,23.82,2,1187.5,7506.5
2,2026-07-05,Pod 4,Orca Pod 4,55,14,0.255,water,warning,True,5313.0,5313.0,11.5,high,5,0,6500.5,-11.5,2,32.0,1,5313.0,0.0
3,2026-07-10,Pod 1,Orca Pod 1,120,18,0.15,food,warning,True,966.0,966.0,3.2,low,10,0,854.5,-3.2,1,24.04,3,854.5,111.5
4,2026-07-10,Pod 2,Orca Pod 2,90,14,0.156,water,critical,True,9828.0,9828.0,5.8,medium,10,1,6143.8,-5.8,2,36.82,2,137.8,9690.2
5,2026-07-10,Pod 4,Orca Pod 4,55,14,0.255,water,critical,False,0.0,6006.0,11.5,high,5,0,6143.8,-11.5,3,57.0,1,6006.0,0.0
6,2026-07-15,Pod 1,Orca Pod 1,120,18,0.15,food,failed,True,1218.0,1218.0,3.2,low,15,1,1034.0,-3.2,1,47.04,3,1034.0,184.0
7,2026-07-15,Pod 2,Orca Pod 2,90,14,0.156,water,failed,True,10962.0,10962.0,5.8,medium,15,2,6524.1,-5.8,2,49.82,2,0.0,10962.0
8,2026-07-15,Pod 4,Orca Pod 4,55,14,0.255,water,failed,False,0.0,6699.0,11.5,high,5,0,6524.1,-11.5,3,67.0,1,6524.1,174.9
9,2026-07-20,Pod 1,Orca Pod 1,120,18,0.15,food,failed,True,1218.0,1218.0,3.2,low,20,2,949.0,-3.2,1,50.04,3,949.0,269.0
10,2026-07-20,Pod 2,Orca Pod 2,90,14,0.156,water,failed,True,10962.0,10962.0,5.8,medium,20,3,6251.8,-5.8,2,52.82,2,0.0,10962.0
11,2026-07-20,Pod 4,Orca Pod 4,55,14,0.255,water,failed,False,0.0,6699.0,11.5,high,5,0,6251.8,-11.5,3,67.0,1,6251.8,447.2
12,2026-07-25,Pod 1,Orca Pod 1,120,18,0.15,food,failed,True,1218.0,1218.0,3.2,low,25,3,807.0,-3.2,1,53.04,3,807.0,411.0
13,2026-07-25,Pod 2,Orca Pod 2,90,14,0.156,water,failed,True,10962.0,10962.0,5.8,medium,25,4,6542.2,-5.8,2,55.82,2,0.0,10962.0
14,2026-07-25,Pod 4,Orca Pod 4,55,14,0.255,water,failed,False,0.0,6699.0,11.5,high,10,1,6542.2,-11.5,3,70.0,1,6542.2,156.8
15,2026-07-30,Pod 1,Orca Pod 1,120,18,0.15,food,failed,True,1218.0,1218.0,3.2,low,30,4,765.6,-3.2,1,56.04,3,765.6,452.4
16,2026-07-30,Pod 2,Orca Pod 2,90,14,0.156,water,failed,True,10962.0,10962.0,5.8,medium,30,5,6778.1,-5.8,2,58.82,2,79.1,10882.9
17,2026-07-30,Pod 4,Orca Pod 4,55,14,0.255,water,failed,False,0.0,6699.0,11.5,high,5,0,6778.1,-11.5,3,67.0,1,6699.0,0.0
