report_date,pod_id,pod_name,population,distance_from_hub_km,peacock_disruption,water_stock_l,food_stock_kg,medicine_stock_units,water_consumption_lpd,food_consumption_kgpd,medicine_consumption_upd,delivery_resource,delivery_amount,water_runway_days,food_runway_days,medicine_runway_days,water_status,food_status,medicine_status,overall_status,requested_assistance,report_source
2026-07-01,Pod 3,Orca Pod 3,150,4.0,none,63534.0,56730.2,1121.2,1919.5,126.1,3.62,none,0.0,35.5,474.9,330.0,stable,stable,stable,stable,False,scout_drone_scan
2026-07-02,Pod 3,Orca Pod 3,150,4.0,none,61731.2,55257.0,1108.9,1991.2,149.2,5.41,none,0.0,33.8,434.0,263.5,stable,stable,stable,stable,False,scout_drone_scan
2026-07-03,Pod 3,Orca Pod 3,150,4.0,minor,63632.0,59564.6,1183.3,2457.3,160.1,7.62,none,0.0,30.0,410.5,213.1,stable,stable,stable,stable,False,elder_report
2026-07-04,Pod 3,Orca Pod 3,150,4.0,minor,61311.6,59393.4,1176.7,2320.4,171.3,6.62,none,0.0,28.2,391.6,202.1,stable,stable,stable,stable,False,elder_report
2026-07-05,Pod 3,Orca Pod 3,150,4.0,none,59464.3,59239.0,1171.3,1847.3,154.3,5.39,none,0.0,28.2,389.2,204.2,stable,stable,stable,stable,False,elder_report
2026-07-06,Pod 3,Orca Pod 3,150,4.0,none,57503.8,59084.4,1166.9,1960.5,154.6,4.41,none,0.0,27.6,387.2,211.6,stable,stable,stable,stable,False,elder_report
2026-07-07,Pod 3,Orca Pod 3,150,4.0,none,55680.7,58921.5,1163.0,1823.1,162.9,3.93,none,0.0,27.2,382.4,219.9,stable,stable,stable,stable,False,elder_report
2026-07-08,Pod 3,Orca Pod 3,150,4.0,none,54109.6,58796.4,1159.2,1571.1,125.1,3.75,none,0.0,27.1,382.0,218.5,stable,stable,stable,stable,True,elder_report
2026-07-09,Pod 3,Orca Pod 3,150,4.0,none,52448.1,58642.2,1155.0,1661.5,154.2,4.23,none,0.0,26.9,379.2,224.9,stable,stable,stable,stable,False,elder_report
2026-07-10,Pod 3,Orca Pod 3,150,4.0,minor,50104.3,58478.7,1147.8,2343.8,163.6,7.21,none,0.0,25.9,376.9,226.1,stable,stable,stable,stable,False,elder_report
2026-07-11,Pod 3,Orca Pod 3,150,4.0,minor,47844.0,58299.5,1140.8,2260.4,179.2,7.02,none,0.0,24.9,373.1,222.3,stable,stable,stable,stable,False,elder_report
2026-07-12,Pod 3,Orca Pod 3,150,4.0,none,45955.8,58141.5,1135.6,1888.2,158.0,5.23,none,0.0,23.8,370.8,222.2,stable,stable,stable,stable,False,elder_report
2026-07-13,Pod 3,Orca Pod 3,150,4.0,none,41980.2,55052.0,1055.3,1934.7,128.0,4.27,none,0.0,22.9,379.2,222.3,stable,stable,stable,stable,False,scout_drone_scan
2026-07-14,Pod 3,Orca Pod 3,150,4.0,none,42299.3,57834.4,1126.5,1721.7,179.0,4.79,none,0.0,22.1,372.4,216.1,stable,stable,stable,stable,False,elder_report
2026-07-15,Pod 3,Orca Pod 3,150,4.0,none,37663.1,53872.8,1069.1,1814.3,149.0,5.03,food,172.5,20.8,364.6,207.8,stable,stable,stable,stable,False,scout_drone_scan
2026-07-16,Pod 3,Orca Pod 3,150,4.0,none,38748.7,57690.5,1116.9,1736.3,167.5,4.59,none,0.0,19.8,359.2,205.0,stable,stable,stable,stable,False,elder_report
2026-07-17,Pod 3,Orca Pod 3,150,4.0,none,37013.3,57535.0,1113.4,1735.4,155.4,3.44,none,0.0,19.8,360.9,226.7,stable,stable,stable,stable,False,elder_report
2026-07-18,Pod 3,Orca Pod 3,150,4.0,none,35326.6,57405.3,1109.5,1686.7,129.8,3.94,none,0.0,19.8,376.7,248.1,stable,stable,stable,stable,False,elder_report
2026-07-19,Pod 3,Orca Pod 3,150,4.0,minor,31327.9,53975.1,1057.8,2195.1,165.5,7.96,none,0.0,18.1,373.0,226.5,stable,stable,stable,stable,False,scout_drone_scan
2026-07-20,Pod 3,Orca Pod 3,150,4.0,major,30678.8,57040.2,1091.3,2452.7,199.5,10.25,none,0.0,16.1,348.5,190.9,stable,stable,stable,stable,False,elder_report
2026-07-21,Pod 3,Orca Pod 3,150,4.0,none,,,,,,,none,0.0,,,,stable,stable,stable,stable,False,elder_report
2026-07-22,Pod 3,Orca Pod 3,150,4.0,major,26106.1,56668.9,1077.4,2724.5,220.8,9.86,none,0.0,12.7,333.6,171.3,stable,stable,stable,stable,True,elder_report
2026-07-23,Pod 3,Orca Pod 3,150,4.0,none,22453.9,52459.3,1004.6,1590.5,166.0,5.34,none,0.0,12.1,333.0,167.6,stable,stable,stable,stable,False,scout_drone_scan
2026-07-24,Pod 3,Orca Pod 3,150,4.0,none,20808.2,53125.3,1023.5,2087.6,135.9,3.93,none,0.0,10.8,337.8,165.1,stable,stable,stable,stable,False,scout_drone_scan
2026-07-25,Pod 3,Orca Pod 3,150,4.0,none,19664.3,51860.3,1005.6,1562.1,134.6,4.21,none,0.0,10.1,335.6,163.5,stable,stable,stable,stable,False,scout_drone_scan
2026-07-26,Pod 3,Orca Pod 3,150,4.0,none,18092.7,51779.1,1001.2,1709.6,142.4,4.87,none,0.0,9.6,341.5,174.6,warning,stable,stable,warning,True,scout_drone_scan
2026-07-27,Pod 3,Orca Pod 3,150,4.0,none,17561.2,55934.6,1055.1,1595.0,155.4,3.96,none,0.0,9.4,354.1,204.3,warning,stable,stable,warning,True,elder_report
2026-07-28,Pod 3,Orca Pod 3,150,4.0,none,15849.6,55767.2,1050.9,1711.6,167.4,4.2,none,0.0,8.5,347.8,202.2,warning,stable,stable,warning,True,elder_report
